神盾局特工 第三季,8.2,(15041人评价)
越狱  第三季,7.6,(46651人评价)
苦艾草,0.0,(暂无评分)
摩登家庭 第五季,9.5,(26723人评价)
吉普赛人,8.1,(3727人评价)
美国恐怖故事：旅馆 第五季,7.1,(14678人评价)
纸牌屋 第四季,8.9,(32991人评价)
破产姐妹 第六季,7.6,(9947人评价)
黑钱胜地 第一季,8.1,(6185人评价)
威尔和格蕾丝 第九季,9.4,(1356人评价)
骑士陨落 第一季,6.8,(177人评价)
摩登家庭 第四季,9.4,(32973人评价)
不死法医,8.2,(11474人评价)
福尔摩斯：基本演绎法 第一季,7.8,(29951人评价)
越狱  第四季,7.9,(47303人评价)
逍遥法外 第一季,8.6,(19144人评价)
血路狂飙,6.8,(3646人评价)
更美好的事 第一季,8.3,(1694人评价)
黑镜 第三季,8.8,(79727人评价)
神烦警探 第五季,9.2,(578人评价)
国土安全  第一季,8.2,(41201人评价)
超感猎杀：圣诞特别篇,8.2,(12914人评价)
成长的烦恼 第一季,9.4,(43176人评价)
女子监狱 第一季,8.3,(17802人评价)
疑犯追踪 第三季,9.4,(23544人评价)
废柴联盟 第一季,8.7,(18628人评价)
动漫刑事司,6.7,(169人评价)
傲骨贤妻  第二季,9.2,(25467人评价)
摩登家庭 第六季,9.4,(22207人评价)
权力的游戏 第八季,0.0,(尚未播出)
女子监狱 第五季,8.9,(3894人评价)
苍穹浩瀚 第二季,9.2,(3995人评价)
传教士 第一季,8.2,(5790人评价)
英雄 第一季,8.3,(40487人评价)
僵尸国度 第四季,7.1,(604人评价)
同志亦凡人 第一季,8.9,(20917人评价)
天才 第一季,8.6,(3006人评价)
美国囧案 第一季,8.5,(1067人评价)
高堡奇人 第一季,7.6,(6680人评价)
24小时  第一季,8.7,(21550人评价)
异人族,4.3,(1504人评价)
疑犯追踪 第四季,9.4,(21439人评价)
犯罪心理 第十二季,8.3,(4030人评价)
识骨寻踪 第一季,8.5,(12412人评价)
波士顿法律 第一季,9.2,(15578人评价)
